,Unnamed: 0,datadate,tic,capgn,cshoc,Volume,eps,prcod,trfd,idbflag,incorp,naics,spcseccd,spcsrc,gsector_25,gsector_35,gsector_40,gsector_45,gsector_50,ggroup_2510,ggroup_3520,ggroup_4010,ggroup_4020,ggroup_4510,ggroup_4530,ggroup_5020,gind_251020,gind_352020,gind_401010,gind_402030,gind_451020,gind_451030,gind_453010,gind_502030,gsector_25.1,gsector_35.1,gsector_40.1,gsector_45.1,gsector_50.1,gsubind_25102010,gsubind_35202010,gsubind_40101010,gsubind_40203020,gsubind_45102010,gsubind_45103010,gsubind_45103020,gsubind_45301010,gsubind_45301020,gsubind_50203010,gvkey_1704,gvkey_2968,gvkey_5073,gvkey_6066,gvkey_12141,gvkey_63080,gvkey_100080,gvkey_114628,gvkey_117768,gvkey_160329,gvkey_1704.1,gvkey_2968.1,gvkey_5073.1,gvkey_6066.1,gvkey_12141.1,gvkey_63080.1,gvkey_100080.1,gvkey_114628.1,gvkey_117768.1,gvkey_160329.1,direction,MA_5,EMA_5,Momentum_5,ROC_5,ATR_5,Vortex_5,RSI_5,MFI_5,OBV_5,Force_5,EoM_5,CCI_5,Copp_5,KelChM_5,KelChU_5,KelChD_5,Donchian_5,STD_5,MA_15,EMA_15,Momentum_15,ROC_15,ATR_15,Vortex_15,RSI_15,MFI_15,OBV_15,Force_15,EoM_15,CCI_15,Copp_15,KelChM_15,KelChU_15,KelChD_15,Donchian_15,STD_15,MA_30,EMA_30,Momentum_30,ROC_30,ATR_30,Vortex_30,RSI_30,MFI_30,OBV_30,Force_30,EoM_30,CCI_30,Copp_30,KelChM_30,KelChU_30,KelChD_30,Donchian_30,STD_30,MA_60,EMA_60,Momentum_60,ROC_60,ATR_60,Vortex_60,RSI_60,MFI_60,OBV_60,Force_60,EoM_60,CCI_60,Copp_60,KelChM_60,KelChU_60,KelChD_60,Donchian_60,STD_60,BollingerB_5,Bollinger%b_5,SO%d_5,Trix_5,Acc/Dist_ROC_5,BollingerB_15,Bollinger%b_15,SO%d_15,Trix_15,Acc/Dist_ROC_15,BollingerB_30,Bollinger%b_30,SO%d_30,Trix_30,Acc/Dist_ROC_30,PP,R1,S1,R2,S2,R3,S3,SO%k,Mass Index,Chaikin,Ultimate_Osc
60,20570,20070330,GOOGL,,230097000.0,3380102.0,10.21,462.1,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,461.916,460.08102073643175,-3.669999999999959,-0.014709677419354784,7.785469752548514,-0.024590163934426378,0.3257908562618367,0.4,-2206494.4,2690554.06999997,-8.986370502721333e-07,-1.4499844859661595,0.01653544042890666,461.45999999999987,469.02400000000017,453.8960000000002,21.399999999999977,2.622761903033411,454.3553333333332,457.4454248472523,5.2000000000000455,0.007498625618471743,8.113342848648465,0.09566144168031362,0.519858556060438,0.5333333333333333,-426635.86666666664,-8277604.400000072,7.191475470637364e-07,0.7249359183931966,-0.004420743716067558,453.6459333333335,461.15173333333365,446.14013333333344,47.24000000000001,8.38401188203397,456.38583333333344,458.6094078401765,-3.3100000000000023,-0.02506702983359572,8.724870261090615,-0.01134160041788636,0.4960221156821284,0.5,-790660.3333333334,2155812.9300000016,-1.9027461947441992e-07,0.28744397936617305,,456.29635555555546,465.11392222222213,447.4787888888889,57.98000000000002,10.588301781987381,469.7535833333332,462.5178681135229,-9.42999999999995,-0.05193891486984225,9.20938530759058,-0.03277816550686748,0.4849875684399579,0.5166666666666667,-470153.9,40476643.60999978,-1.6675631078430153e-07,-0.587498893764064,,469.9565111111112,479.2506277777777,460.6623944444443,0.0,18.244536890501525,0.022712024723399154,0.14198046383319332,0.4934312183077885,0.0023139383422264123,-1.3187993903217328,0.0738101768985564,0.6134500618617866,0.5632155512322083,-0.0007316655759827638,-1.570852058148571,0.09280131860932621,0.5418897832531739,0.5332462055348274,,-1.2561060886205608,459.23333333333335,462.3266666666667,455.0666666666667,466.49333333333334,451.97333333333336,469.5866666666667,447.80666666666673,0.27823691460055666,24.51223053175012,-1282324.6624141221,4.440325350055008
61,20571,20070402,GOOGL,,230097000.0,3446112.0,10.21,457.76,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,460.62199999999996,459.5640138242816,-6.470000000000027,-0.010978818860273569,7.326979835026791,-0.2860832137733148,0.15275722714236858,0.2,-2457778.0,8129024.460000034,-2.5821568815036803e-06,-1.4765267775992101,0.004982191852788433,460.36399999999986,467.3340000000002,453.3940000000001,20.015000000000043,2.2965887746837526,454.6073333333332,457.58103115883546,3.7799999999999727,0.034986344039907004,7.900370939342251,0.0364557220187459,0.42949192622664395,0.5333333333333333,-427731.8,-62139.419999999554,2.5323734323150756e-07,0.3317874218932681,0.002180120723167499,453.82526666666683,461.48240000000027,446.16813333333346,47.24000000000001,8.453244065924443,456.0055000000001,458.60420142598036,-11.410000000000025,-0.028743910188519486,8.573094650989555,-0.06283545911005951,0.45831794176671875,0.4666666666666667,-881597.3666666667,31127746.51000007,-5.829268261771212e-07,0.046326133632024216,,455.93002222222214,464.6915888888888,447.1684555555556,57.98000000000002,10.285232663789195,469.34141666666653,462.36816899463764,-24.730000000000018,-0.05882715162462289,9.10430020897719,-0.07369284367881855,0.46625339651294934,0.5,-544080.4,109692140.70000008,-5.442126498484822e-07,-0.7210147002987567,,469.5877333333334,478.7286833333333,460.4467833333332,0.0,18.21355292761893,0.019943370266151013,0.2722709412476272,0.6622874788739002,0.0015794744021357643,1.7043934279104112,0.07437842239756606,0.616010688798141,0.6178274680774558,-0.0005882545801316106,-1.5653084929150434,0.0902202509731939,0.5613622482476206,0.5638491482192088,,0.013231424055949124,456.39333333333326,460.6666666666665,454.25666666666655,462.80333333333317,449.9833333333333,467.0766666666665,447.8466666666666,1.0,24.419253391713266,221810.1668026871,4.552518296098858
62,20572,20070403,GOOGL,,230097000.0,6514300.0,10.21,464.05,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,462.41799999999995,463.909342549556,8.980000000000018,0.023209491642851018,10.124653223373748,0.03809106830122487,0.7941270997843438,0.2,-408672.2,24991977.58000005,1.1118694835897224e-06,1.6190690330384079,0.01650598712436888,461.8079999999998,469.8500000000002,453.7660000000002,12.910000000000025,5.904525383128074,456.57866666666655,459.4588192811427,29.57000000000005,0.054910714285714333,8.878041691991166,0.26795195798381527,0.6789229888243629,0.6,431638.86666666664,4081842.800000007,2.2526605311357863e-06,1.748505855268255,0.014401508918597447,455.44882222222236,463.1826222222225,447.7150222222224,47.24000000000001,8.991312367793142,456.02216666666675,459.5208809301122,0.5,-0.006850754423569938,9.041193817804466,-0.021094232605155444,0.5889325296730399,0.4666666666666667,-799691.0666666667,1228594.5,-3.253380266613735e-08,1.4307496464541771,,455.9443555555555,464.7795888888888,447.10912222222225,57.98000000000002,10.312581007692993,469.0982499999999,462.7504414844796,-14.589999999999975,-0.022705653666404653,9.351470048846073,-0.06718799001895324,0.5383508961851462,0.5,-549994.2166666667,5176955.109999991,-3.3393799288555183e-07,0.05102947262865066,,469.3546777777778,478.50996111111107,460.1993944444443,0.0,18.068033266597734,0.05107522097433988,0.9311100105139145,0.7211997826643763,0.0021323799239344327,-3.7544899251106427,0.07877120000753264,0.9454670430181541,0.645483225108967,-0.00040483961282373776,-0.3611866217532474,0.09045683970210212,0.9018837117731855,0.5818722358675832,,0.6242816285817854,470.2833333333333,476.5666666666666,466.3166666666666,480.5333333333333,460.0333333333333,486.8166666666666,456.0666666666666,0.8390243902439046,24.34726288698431,1125895.689936773,4.809241577467025
63,20573,20070404,GOOGL,,230097000.0,3777811.0,10.21,472.14,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,464.2459999999999,466.27956169971674,9.139999999999986,0.021912696346437485,7.889768815570498,0.13809632503994418,0.7941270997843438,0.4,-237144.0,-7838838.739999988,1.5015759797656587e-06,1.1335514606094104,0.023628672750630075,463.54999999999984,471.21800000000013,455.8820000000002,11.0,7.008043949634122,458.1133333333333,460.9042477452955,23.019999999999982,0.05564893879289089,8.195653879536296,0.38164825533465707,0.678922988824363,0.6666666666666666,-354133.13333333336,-97396653.15999992,2.668785597575312e-06,1.5771420683775657,0.023268547396974756,457.18082222222233,464.4986222222225,449.86302222222236,39.94999999999999,9.378708155532845,455.8608333333334,460.27329816213035,-4.840000000000032,-0.010150257434065443,8.67338450412356,-0.03835727057737822,0.58893252967304,0.4666666666666667,-1112724.0333333334,8883176.280000059,-2.582507523759762e-07,1.5579804615806834,,455.84791111111105,464.4324777777777,447.2633444444445,57.98000000000002,10.025390187894958,468.88891666666655,463.0579944957642,-12.560000000000002,-0.02982492276004123,9.130872846293707,-0.07133512572494018,0.5383508961851461,0.5,-533745.9333333333,12244706.320000002,-3.881493882934659e-07,0.1149793244531939,,469.1210666666667,478.20551666666665,460.03661666666653,0.0,17.969898821000818,0.0603821590246044,0.7416508817825591,0.6211507323020283,0.0027115156359418676,-2.958584357043739,0.08188985103132715,0.8440416966981902,0.617423948465547,-0.00020869968555023582,-0.356280358474814,0.08796886641554676,0.8780193683875351,0.5713493913976976,,-0.8523923313974808,471.2,472.82,469.4,474.62000000000006,467.78,476.24,465.97999999999996,0.42105263157894474,24.18672603631985,-201810.81606477196,4.559936996318054
64,20574,20070405,GOOGL,,230957000.0,2715023.0,10.21,471.3,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,466.3639999999999,468.0230411331508,10.589999999999975,0.02913829229963324,6.083179210373853,0.27692743764172145,0.7941270997843438,0.4,1103504.4,-13483145.639999969,2.688406102538871e-06,0.7529506914751494,0.03241506970639799,465.6366666666665,471.5986666666669,459.6746666666669,11.0,7.343781723335949,459.8013333333333,462.23019222637913,25.319999999999993,0.06954746512419183,7.479825432874345,0.3309456740442651,0.6789229888243629,0.6,89796.4,-31115672.03999999,2.339050059063043e-06,1.3540460644889267,0.0320905207909917,458.80900000000014,465.8993333333336,451.71866666666676,38.25,9.35798731921872,455.71616666666677,461.00787153949074,-4.340000000000032,0.0018911223492413972,8.267852598764865,-0.08784794749863002,0.5889325296730399,0.43333333333333335,-830762.1,13145044.080000097,-6.204206826550616e-07,1.6494594447742912,,455.61168888888886,463.9502555555555,447.27312222222224,57.98000000000002,9.754657215148962,468.65574999999984,463.37095458306925,-13.990000000000009,-0.036673068279328216,8.884234655339002,-0.06887219190076883,0.5383508961851462,0.5,-578178.4,37296612.520000026,-3.661396646971858e-07,0.12158956223021333,,468.8892333333334,477.89735,459.8811166666665,0.0,17.841010907195784,0.06298755241258717,0.675182221975903,0.6691612169464647,0.003083347196341662,-1.9605031608931698,0.08140896200868249,0.8127987425944773,0.6358968691221573,-1.008515362053573e-05,-1.3543903368281396,0.08562046228466587,0.9047767385614902,0.584020761769637,,-1.9670178597547512,471.0733333333333,472.52666666666664,470.0566666666667,473.5433333333333,468.60333333333335,474.9966666666666,467.5866666666667,0.7651821862348215,23.920428788044948,-78656.93595169531,4.672885264510638
65,20575,20070409,GOOGL,,230957000.0,3061819.0,10.21,472.98,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,468.37399999999997,468.085360755434,10.049999999999955,0.021110941486925626,6.525452806916967,0.22890206040078903,0.4798413741080308,0.4,1167161.0,-3198744.1499999855,2.2469137140416325e-06,0.21478403953170727,0.03391909153313388,467.5766666666665,473.56866666666684,461.5846666666668,13.879999999999995,5.7364213583037635,461.6253333333333,462.9777794207611,27.359999999999957,0.046910985399011604,7.471095955032382,0.3652212586168548,0.5816141958762812,0.6,262911.0,-71046231.83999988,2.375071140107616e-06,1.0215613515991238,0.04006251251853493,460.57255555555565,467.7028888888891,453.4422222222223,28.5,7.962658266349148,455.6358333333334,461.47829107860315,-2.410000000000025,0.0070548254575957085,8.211820465160182,-0.0483091787439617,0.547585637242789,0.43333333333333335,-803431.1333333333,1976028.8900000206,-2.0097186934999926e-07,1.4556731602170216,,455.51646666666664,463.7970333333333,447.2359,57.98000000000002,9.636898922025358,468.30158333333316,463.54937761822373,-21.25,-0.06305531097414561,8.829877359824637,-0.08550285648556445,0.5185070558275221,0.48333333333333334,-727884.7666666667,60748310.0,-5.28534722053765e-07,0.0206807866128379,,468.5656222222223,477.50540555555557,459.6258388888888,0.0,17.630700484359945,0.04899009217679687,0.49285268681655553,0.5639662274017552,0.0029153269624167654,-1.2601906293041338,0.06899671825938913,0.7067358175627741,0.6006015404398725,0.00016735246103834547,-1.2547636173636658,0.08460176497993045,0.8261984682107656,0.5689688778153834,,-0.7157441433614778,468.93333333333334,472.2766666666667,464.8666666666667,476.3433333333334,461.5233333333333,479.6866666666667,457.45666666666665,0.3535762483130898,23.742519827326415,-764587.2722730462,4.595402136770117
66,20576,20070410,GOOGL,,230957000.0,2979218.0,10.21,467.09,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,469.968,467.5569071702885,7.970000000000027,-0.012907321201862087,6.226968537944168,0.4144300144300144,0.45125795487311443,0.4,-117905.0,-3721145.1800000127,3.4016174619449354e-06,-1.4667446003198814,0.02437803654586339,469.7946666666665,475.6306666666668,463.9586666666668,22.129999999999995,2.526335290495644,462.90999999999997,463.4181143153403,19.269999999999982,0.04765540783327351,7.240928997844126,0.3256341607296815,0.5716234714393216,0.5333333333333333,-282153.0,-42731687.47999996,2.080552388699736e-06,0.7564666195863945,0.04367722533510328,462.04122222222236,469.02222222222247,455.06022222222236,28.5,6.966430731935036,455.6881666666667,461.80603033446914,1.5699999999999932,0.03950798850190525,8.043319277362164,-0.037537823644636946,0.5432356031389373,0.43333333333333335,-770443.8333333334,-1553701.8299999933,-6.437004327362259e-09,1.303332122395787,,455.5000222222222,463.58492222222213,447.41512222222224,65.82999999999998,9.693209895319137,467.74791666666647,463.6577290187083,-33.22000000000003,-0.07623762376237624,8.712372932468178,-0.12127901932917445,0.5164071791588513,0.4666666666666667,-897636.85,140410608.5800001,-7.140119321138104e-07,-0.03195312812187905,,468.0367333333334,476.9775166666667,459.09594999999985,0.0,17.1421723820521,0.021502189855442447,0.15681514909689326,0.45531437066553093,0.0023867902790335625,-1.3534168161729476,0.060196848043334875,0.6288321142541115,0.5552717790698148,0.0003152345143356886,1.8521345894513395,0.0850863428490972,0.7788506967788441,0.5473690593776482,,-0.7757881156889423,467.48333333333335,469.8066666666667,464.1766666666667,473.1133333333333,461.85333333333335,475.43666666666667,458.5466666666667,0.23801065719360143,23.6125930163465,-1187087.1209458625,4.462839324636505
67,20577,20070411,GOOGL,,230957000.0,3806365.0,10.21,466.06,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,468.354,466.54793811352465,-8.07000000000005,-0.013778608127043457,6.414645691962966,-0.24261275272161806,0.2949625169904114,0.2,-2182038.0,21853035.450000137,-1.6439747072949594e-06,-1.3735321876846662,0.016020919758152712,468.8406666666665,473.98466666666684,463.69666666666683,22.129999999999995,2.9643262303605136,464.1933333333333,463.55711585906926,19.25,0.01747891797174452,7.18455645192754,0.2643947776056638,0.5120149565722448,0.4666666666666667,-307858.26666666666,7422395.75,1.7655896656548803e-06,0.38298066188296725,0.04969756444063997,463.37588888888905,470.54288888888914,456.208888888889,28.5,4.975220980973152,456.2135,461.9836758744568,15.759999999999991,0.033552119256869475,7.961583205693899,0.04112443921219224,0.5171904719339409,0.43333333333333335,-586489.2666666667,-86973719.11999995,5.994595459025503e-07,1.022954283832386,,455.9533555555555,463.8435888888888,448.0631222222222,64.72999999999996,9.732329624185228,467.07341666666645,463.6896346156895,-40.47000000000003,-0.07882525581026414,8.6420571047652,-0.14031922227380825,0.5038951191817562,0.45,-1035527.45,26738771.82000002,-8.385273330155412e-07,-0.11342855987025194,,467.4064000000001,476.3770166666667,458.43578333333323,0.0,16.433084974301078,0.025316971610025867,0.17749838387938266,0.3977991729816709,0.0016443917823661881,1.7723929923330808,0.042871972720904955,0.5169171715163089,0.5212050234710176,0.00042786091813550904,-1.2862390469961955,0.08533136020030295,0.7136307626524776,0.5301129714962078,,-1.9998869414774185,465.5133333333333,468.41666666666663,461.62666666666667,472.3033333333333,458.72333333333336,475.2066666666666,454.8366666666667,0.28276877761413394,23.495183760946638,-1281498.6144190936,4.343899210019076
68,20578,20070412,GOOGL,,230957000.0,2707824.0,10.21,464.0,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,467.628,466.8286254090166,-3.6299999999999955,-0.00873788466840577,6.196430461308486,-0.43977191732002846,0.27428597822327405,0.2,-884911.0,3884052.809999995,-2.412472573740126e-06,-0.8284517564708496,0.004093277656214606,467.77599999999984,473.3880000000002,462.1640000000001,22.129999999999995,2.565895555162593,464.916,464.03627413342315,10.839999999999975,0.0115790840619859,7.006469145834446,0.16311231141739596,0.5033115625254345,0.4666666666666667,-513859.4666666667,-33495795.119999923,9.49067071804393e-07,0.3411824162212795,0.05186656023064549,464.2491111111113,471.04311111111133,457.45511111111125,28.5,4.5552478370703895,456.81149999999997,462.33600651640387,17.939999999999998,0.04274591169711971,7.8181058251023305,0.0763702435898473,0.5133728190807636,0.4666666666666667,-763824.5,-95441822.57999998,7.631351756248134e-07,0.9935360923047248,,456.5252444444444,464.25314444444433,448.79734444444443,66.00999999999999,9.8528309558638,466.45858333333314,463.82447403610547,-36.889999999999986,-0.06010698198198196,8.537036419170173,-0.16444362590580378,0.50207021372386,0.45,-864338.2833333333,179126846.77999994,-9.90669064635286e-07,-0.05336513161471522,,466.72334444444454,475.62829444444446,457.8183944444443,0.0,15.690772309574344,0.021948177227733096,0.4768112151407388,0.5632318560619708,0.001199480091579238,0.4821970589559953,0.039192007477225045,0.6357774641736667,0.5678211944545382,0.0005234462158817416,-0.6138124732347362,0.08627480661816789,0.7684127041097855,0.5538338586903364,,-0.24443824336971995,465.8766666666667,469.51333333333343,463.75333333333344,471.63666666666677,460.11666666666673,475.2733333333334,457.99333333333345,0.8940972222222197,23.41065126512956,1655.1205669019837,4.267441344837262
69,20579,20070413,GOOGL,,230957000.0,2784659.0,10.21,468.45,1.0,B,DE,519130,,B+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,466.584,466.64908360601095,-5.21999999999997,-0.004100724034087181,5.934286974205523,-0.3090322580645162,0.4045775873611949,0.4,-1984847.4,-363499.91999999795,-1.966137282776511e-06,-0.46026717389131444,-0.0019854017177766284,466.78933333333316,472.98933333333355,460.58933333333346,22.129999999999995,1.378941623130873,465.1993333333333,464.3180144371715,4.25,0.009657233181040722,6.80689309768117,0.06291808046534128,0.5226116280626518,0.4666666666666667,-1078153.8666666667,-12304166.5,3.407940853557554e-07,0.30949508838167294,0.05216441696615111,464.7308888888891,471.2428888888891,458.218888888889,28.5,4.495365020402487,457.4135,462.59352023195487,18.060000000000002,0.06293881644934808,7.661271909964436,0.10440321934277294,0.5212346077584701,0.5,-567176.9666666667,-106543633.56000002,9.265924521050637e-07,0.9557160450902141,,457.1671333333333,464.66136666666654,449.67289999999997,67.32999999999998,9.862149443094621,465.9420833333332,463.9139895754312,-30.989999999999952,-0.0441547260316093,8.42350350341424,-0.13798876259178913,0.5059202436297034,0.4666666666666667,-799125.0833333334,121257424.07999982,-7.243231377149296e-07,-0.0014533736348024081,,466.16217777777786,474.93412777777775,457.3902277777777,0.0,15.160096017642017,0.011821593737726737,0.4466982512043442,0.5560177869741524,0.0008257614106506003,-1.258324876002897,0.03865323699577518,0.5606550670366401,0.5645419652676548,0.0005977375763324908,-0.8886106448431242,0.08624274922445115,0.7250143351410898,0.5530364238952848,,-1.0351871957989298,466.14000000000004,468.9200000000001,463.5100000000001,471.55000000000007,460.7300000000001,474.33000000000004,458.10000000000014,0.5415896487985257,23.30093384603345,-78962.28354496724,3.7107409541381355
